Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt,Source_Sheet,Habitat_Source_File,TaxonCode,Previously_Obs,Month,Month_Name,Day,Start_Time_Min,End_Time_Min,Observation_Duration_Min
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Carolina Wren,Thryothorus ludovicianus,178581.0,CARW,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,ANTI,Forest,88350.0,,5,May,22,379,389,10
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,7.5 - 10 min,Visualization,<= 50 Meters,False,Undetermined,Carolina Chickadee,Poecile carolinensis,554383.0,CACH,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,ANTI,Forest,265876.0,,5,May,22,379,389,10
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Wood-Pewee,Contopus virens,178359.0,EAWP,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,ANTI,Forest,85846.0,,5,May,22,379,389,10
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Calling,50 - 100 Meters,False,Undetermined,American Crow,Corvus brachyrhynchos,179731.0,AMCR,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,ANTI,Forest,87106.0,,5,May,22,379,389,10
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Indigo Bunting,Passerina cyanea,179150.0,INBU,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,ANTI,Forest,94257.0,,5,May,22,379,389,10
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,<= 50 Meters,False,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138.0,ETTI,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,ANTI,Forest,266957.0,,5,May,22,379,389,10
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,7.5 - 10 min,Singing,<= 50 Meters,False,Undetermined,Yellow Warbler,Setophaga petechia,950039.0,YEWA,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,ANTI,Forest,773778.0,,5,May,22,379,389,10
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Visualization,<= 50 Meters,False,Undetermined,Mourning Dove,Zenaida macroura,177125.0,MODO,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,ANTI,Forest,82737.0,,5,May,22,379,389,10
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,<= 50 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,FISP,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,ANTI,Forest,84790.0,,5,May,22,379,389,10
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,5 - 7.5 min,Calling,50 - 100 Meters,False,Undetermined,Red-bellied Woodpecker,Melanerpes carolinus,178195.0,RBWO,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,ANTI,Forest,84865.0,,5,May,22,362,372,10
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,7.5 - 10 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138.0,ETTI,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,ANTI,Forest,266957.0,,5,May,22,362,372,10
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138.0,ETTI,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,ANTI,Forest,266957.0,,5,May,22,362,372,10
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Eastern Bluebird,Sialia sialis,179801.0,EABL,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,ANTI,Forest,87184.0,,5,May,22,362,372,10
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,0-2.5 min,Calling,<= 50 Meters,False,Undetermined,Downy Woodpecker,Picoides pubescens,178259.0,DOWO,False,True,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,ANTI,Forest,84936.0,,5,May,22,362,372,10
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Chipping Sparrow,Spizella passerina,179435.0,CHSP,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,ANTI,Forest,84781.0,,5,May,22,362,372,10
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,2.5 - 5 min,Singing,<= 50 Meters,False,Undetermined,Carolina Wren,Thryothorus ludovicianus,178581.0,CARW,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,ANTI,Forest,88350.0,,5,May,22,362,372,10
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,0-2.5 min,Calling,50 - 100 Meters,False,Undetermined,Carolina Wren,Thryothorus ludovicianus,178581.0,CARW,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,ANTI,Forest,88350.0,,5,May,22,362,372,10
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,7.5 - 10 min,Singing,<= 50 Meters,False,Undetermined,Baltimore Oriole,Icterus galbula,179083.0,BAOR,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,ANTI,Forest,93655.0,,5,May,22,362,372,10
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124.0,NOCA,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,ANTI,Forest,94228.0,,5,May,22,362,372,10
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,2.5 - 5 min,Calling,50 - 100 Meters,False,Undetermined,Great Crested Flycatcher,Myiarchus crinitus,178309.0,GCFL,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,ANTI,Forest,85791.0,,5,May,22,362,372,10
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,2.5 - 5 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Wood-Pewee,Contopus virens,178359.0,EAWP,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,ANTI,Forest,85846.0,,5,May,22,441,451,10
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,7.5 - 10 min,Singing,50 - 100 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,FISP,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,ANTI,Forest,84790.0,,5,May,22,441,451,10
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,2.5 - 5 min,Singing,<= 50 Meters,False,Undetermined,Indigo Bunting,Passerina cyanea,179150.0,INBU,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,ANTI,Forest,94257.0,,5,May,22,441,451,10
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,0-2.5 min,Calling,50 - 100 Meters,False,Undetermined,Mourning Dove,Zenaida macroura,177125.0,MODO,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,True,ANTI,Forest,82737.0,,5,May,22,441,451,10
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124.0,NOCA,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,True,ANTI,Forest,94228.0,,5,May,22,441,451,10
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124.0,NOCA,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,True,ANTI,Forest,94228.0,,5,May,22,441,451,10
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,7.5 - 10 min,Singing,<= 50 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,FISP,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,ANTI,Forest,84790.0,,5,May,22,441,451,10
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,7.5 - 10 min,Singing,50 - 100 Meters,False,Undetermined,Chipping Sparrow,Spizella passerina,179435.0,CHSP,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,ANTI,Forest,84781.0,,5,May,22,441,451,10
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,5 - 7.5 min,Singing,<= 50 Meters,False,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179276.0,EATO,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,ANTI,Forest,83803.0,,5,May,22,441,451,10
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,FISP,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,True,ANTI,Forest,84790.0,,5,May,22,441,451,10
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,5 - 7.5 min,Calling,<= 50 Meters,False,Undetermined,Blue-gray Gnatcatcher,Polioptila caerulea,179853.0,BGGN,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,ANTI,Forest,88038.0,,5,May,22,441,451,10
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,2.5 - 5 min,Calling,<= 50 Meters,False,Undetermined,Carolina Chickadee,Poecile carolinensis,554383.0,CACH,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,ANTI,Forest,265876.0,,5,May,22,441,451,10
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,5 - 7.5 min,Calling,<= 50 Meters,False,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532.0,CEDW,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,ANTI,Forest,88296.0,,5,May,22,441,451,10
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,2.5 - 5 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179276.0,EATO,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,ANTI,Forest,83803.0,,5,May,22,441,451,10
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,False,Undetermined,Blue Jay,Cyanocitta cristata,179680.0,BLJA,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,ANTI,Forest,86252.0,,5,May,23,508,518,10
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,7.5 - 10 min,Visualization,<= 50 Meters,False,Undetermined,Eastern Bluebird,Sialia sialis,179801.0,EABL,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False,ANTI,Forest,87184.0,,5,May,23,508,518,10
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,False,Undetermined,American Goldfinch,Spinus tristis,179236.0,AMGO,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,ANTI,Forest,95300.0,,5,May,23,508,518,10
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,0-2.5 min,Visualization,,True,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532.0,CEDW,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,ANTI,Forest,88296.0,,5,May,23,508,518,10
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,FISP,False,True,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,ANTI,Forest,84790.0,,5,May,23,508,518,10
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,False,Undetermined,Indigo Bunting,Passerina cyanea,179150.0,INBU,False,True,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False,ANTI,Forest,94257.0,,5,May,23,508,518,10
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,5 - 7.5 min,Visualization,,True,Undetermined,Red-winged Blackbird,Agelaius phoeniceus,179045.0,RWBL,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False,ANTI,Forest,93613.0,,5,May,23,508,518,10
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,False,Undetermined,Northern Mockingbird,Mimus polyglottos,178620.0,NOMO,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,ANTI,Forest,88394.0,,5,May,23,508,518,10
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,False,Undetermined,Carolina Wren,Thryothorus ludovicianus,178581.0,CARW,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True,ANTI,Forest,88350.0,,5,May,23,566,576,10
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,<= 50 Meters,False,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138.0,ETTI,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,ANTI,Forest,266957.0,,5,May,23,566,576,10
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,7.5 - 10 min,Visualization,<= 50 Meters,False,Male,Pileated Woodpecker,Dryocopus pileatus,178166.0,PIWO,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,ANTI,Forest,84833.0,,5,May,23,566,576,10
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,7.5 - 10 min,Visualization,<= 50 Meters,False,Undetermined,Pileated Woodpecker,Dryocopus pileatus,178166.0,PIWO,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,ANTI,Forest,84833.0,,5,May,23,566,576,10
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124.0,NOCA,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True,ANTI,Forest,94228.0,,5,May,23,566,576,10
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,0-2.5 min,Calling,<= 50 Meters,False,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124.0,NOCA,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True,ANTI,Forest,94228.0,,5,May,23,566,576,10
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,5 - 7.5 min,Visualization,<= 50 Meters,False,Undetermined,Brown-headed Cowbird,Molothrus ater,179112.0,BHCO,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,ANTI,Forest,94215.0,,5,May,23,566,576,10
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,50 - 100 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,FISP,False,True,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,ANTI,Forest,84790.0,,5,May,23,566,576,10
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138.0,ETTI,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,ANTI,Forest,266957.0,,5,May,23,566,576,10
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Wood-Pewee,Contopus virens,178359.0,EAWP,False,True,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,ANTI,Forest,85846.0,,5,May,23,566,576,10
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532.0,CEDW,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True,ANTI,Forest,88296.0,,5,May,23,566,576,10
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,0-2.5 min,Calling,<= 50 Meters,False,Undetermined,Blue-gray Gnatcatcher,Polioptila caerulea,179853.0,BGGN,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True,ANTI,Forest,88038.0,,5,May,23,566,576,10
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,5 - 7.5 min,Visualization,<= 50 Meters,False,Male,Brown-headed Cowbird,Molothrus ater,179112.0,BHCO,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,ANTI,Forest,94215.0,,5,May,23,566,576,10
ANTI,,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,10:01:00,10:11:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532.0,CEDW,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,ANTI,Forest,88296.0,,5,May,23,601,611,10
